rider_slug,riding_hand,total_records,career_qual_pct,career_rides,career_attempts,career_avg_score,career_high_score
Mason+Hewiett,,5,0.0,0,5,0.0,0.0
Mason+Michaelis,Left,219,21.18,43,203,73.2,86.0
Mason+Moody,Left,560,31.81,167,525,82.58,91.0
Mason+Reine,Right,43,6.98,3,43,83.0,85.0
Mason+Spain,Right,290,32.7,86,263,81.49,90.0
Mason+Suchocki,,1,0.0,0,1,0.0,0.0
Mason+Taylor,Right,769,33.8,241,713,85.8,91.5
Mason+Ward,Right,163,11.26,17,151,77.97,87.5
Mason+Yoder,,11,0.0,0,11,0.0,0.0
Mat+Tolson,,2,0.0,0,2,0.0,0.0
Mathew+Green,,2,0.0,0,2,0.0,0.0
Matt+Aipperspach,,76,24.32,18,74,69.5,80.0
Matt+Allen,,2,0.0,0,1,0.0,0.0
Matt+Allgood,Right,208,18.23,35,192,77.47,86.0
Matt+Austin,Right,640,57.12,309,541,81.94,94.0
Matt+Bennett,,3,33.33,1,3,77.0,77.0
Matt+Clemons,,220,33.33,66,198,78.44,90.0
Matt+Clouser,,53,12.5,6,48,76.0,84.0
Matt+Davis,,34,20.69,6,29,82.33,85.5
Matt+Dunsmore,Right,353,20.45,64,313,77.5,88.0
Matt+Fenton,,51,12.0,6,50,77.33,82.0
Matt+Goodman,,21,16.67,3,18,74.33,76.0
Matt+Gordon,,16,0.0,0,16,0.0,0.0
Matt+Jarvis,Left,75,43.08,28,65,76.11,88.0
Matt+Palmer,Right,235,39.34,83,211,83.34,90.5
Matt+Peak,,31,40.0,12,30,74.17,84.0
Matt+Porter,,56,29.27,12,41,72.33,82.0
Matt+Silva,,14,8.33,1,12,70.0,70.0
Matt+Svendsen,,60,20.0,11,55,76.0,83.0
Matt+Wilson,,21,5.0,1,20,74.0,74.0
Matteo+Nunez,,51,0.0,0,46,0.0,0.0
Matthew+Frost,,41,7.69,3,39,63.33,75.0
Matthew+Glover,,3,0.0,0,2,0.0,0.0
Matthew+Green,,4,0.0,0,2,0.0,0.0
Matthew+Pinon,,54,0.0,0,49,0.0,0.0
Mauricio+Gulla+Moreira,Left,567,29.7,158,532,86.49,94.25
Maverick+Potter,Left,626,26.58,147,553,83.11,90.5
Maverick+Smith,Right,426,33.51,128,382,83.81,91.0
Max+Castro,Right,201,9.95,19,191,82.66,88.0
Max+Fortmuller,Right,309,31.09,83,267,76.97,89.0
Max+Lee,,4,0.0,0,4,0.0,0.0
Max+Miller,,9,0.0,0,9,0.0,0.0
Mecate+Trammell,Right,85,21.95,18,82,78.81,90.5
Melmo+Quintero,Right,144,19.55,26,133,83.44,90.0
Melvin+Byler,Left,52,10.0,5,50,82.56,86.5
Melvin+Zebroski,Left,28,14.81,4,27,69.0,77.0
Memo+Chavez,,9,0.0,0,8,0.0,0.0
Merle+Freeman,,20,33.33,6,18,77.75,87.5
Merle+Yoder,,23,0.0,0,23,0.0,0.0
Micah+Morales,,10,11.11,1,9,66.0,66.0
Micah+Stevens,,7,0.0,0,5,0.0,0.0
Michael+Caruso,,46,18.6,8,43,74.31,84.5
Michael+Couch,,3,0.0,0,2,0.0,0.0
Michael+Crevelt,,2,0.0,0,2,0.0,0.0
Michael+Hammerle,,4,25.0,1,4,87.0,87.0
