bull_id,name,power_rating,avg_bull_score,avg_adjusted,attempts,rides,avg_ride_score,buckoff_pct,pre_ride_prob,hand_advantage_pct,hand_advantage_dir,lh_wins,lh_losses,lh_pct,lh_total,rh_wins,rh_losses,rh_pct,rh_total,top_riders_wins,top_riders_losses,top_riders_pct,contractor,active,round_wins,rider_round_wins
19200,78 Copenhagen Tuff Enuff (19200),,21.97,,53,,,,,,,,,,,,,,,,,,,True,,
19202,604 No Can Do (19202),,22.485,,9,,,,,,,,,,,,,,,,,,,True,,
159,708 Sams Town (159),73.17,20.721,,52,8,82.5,84.62,,21,RIGHT,12,1,92.31,13,17,7,70.83,24,10,6,62.5,Sams Town,False,1,2
17038,1 Red Cloud (17038),81.14,22.172,,16,2,85.5,87.5,,33,LEFT,4,2,66.67,6,10,0,100.0,10,12,2,85.71,Red Cloud,True,2,0
19203,695 Mighty Whitey (19203),82.06,22.033,,20,3,88.83,85.0,,30,RIGHT,5,0,100.0,5,7,3,70.0,10,14,3,82.35,Mighty Whitey,True,0,0
19205,105 Superstar (19205),71.97,21.313,,30,16,86.25,46.67,,7,RIGHT,5,6,45.45,11,5,8,38.46,13,11,14,44.0,Superstar,True,0,0
19223,77 Yellowjacket (19223),76.88,22.727,,24,6,93.08,75.0,,21,LEFT,4,3,57.14,7,11,3,78.57,14,11,6,64.71,Yellowjacket,True,4,5
19224,877 Explosive Jacket (19224),0.0,21.625,,2,1,86.0,50.0,,,,,,,,,,,,,,,Explosive Jacket,True,1,0
19226,31 Dippin Joe (19226),0.0,19.0,,1,1,80.0,0.0,,,,,,,,,,,,,,,Dippin Joe,True,0,0
19227,542 Freeloader (19227),54.12,22.063,,18,12,89.21,33.33,,25,RIGHT,2,2,50.0,4,3,9,25.0,12,2,12,14.29,Freeloader,True,0,2
19228,080 Red Dog (19228),52.89,21.7,,10,6,87.92,40.0,,10,LEFT,2,3,40.0,5,2,2,50.0,4,2,5,28.57,Red Dog,True,0,1
19229,906 Young Gun (19229),61.24,23.15,,5,2,90.0,60.0,,,,2,0,100.0,2,1,2,33.33,3,2,2,50.0,Young Gun,True,2,0
19230,01 Shag McNasty (19230),0.0,19.833,,3,3,82.0,0.0,,,,,,,,,,,,,,,Shag McNasty,True,0,0
19231,U62 Back In Black (19231),0.0,21.5,,1,0,0.0,100.0,,,,,,,,,,,,,,,Back In Black,True,0,0
19232,581 Bone Collector (19232),47.4,21.156,,8,5,89.63,37.5,,,,1,2,33.33,3,1,2,33.33,3,1,5,16.67,Bone Collector,True,0,1
19233,T30 Stardust Jellybean (19233),0.0,22.333,,3,0,0.0,100.0,,,,,,,,,,,,,,,Stardust Jellybean,True,2,0
19234,X23 Elvis (19234),0.0,19.5,,1,1,81.0,0.0,,,,,,,,,,,,,,,Elvis,True,0,0
19235,714 Slammer (19235),0.0,21.438,,4,1,86.5,75.0,,,,,,,,,,,,,,,Slammer,True,0,0
19236,231 Mad Max (19236),0.0,19.833,,3,1,75.0,66.67,,,,,,,,,,,,,,,Mad Max,True,0,0
19237,77+ Dog (19237),0.0,21.0,,4,2,86.25,50.0,,,,,,,,,,,,,,,Dog,True,0,0
19238,311 Why Not Minot (19238),39.8,21.375,,8,8,86.88,0.0,,,,0,3,0.0,3,0,4,0.0,4,0,7,0.0,Why Not Minot,True,0,1
19239,66 King Kong (19239),49.05,21.292,,7,4,85.75,42.86,,,,1,1,50.0,2,0,2,0.0,2,1,3,25.0,King Kong,True,0,0
19240,-08 Riptide (19240),77.39,21.525,,17,4,83.13,76.47,,9,LEFT,5,2,71.43,7,8,2,80.0,10,12,4,75.0,Riptide,True,0,0
19241,+100 Playmate (19241),72.81,21.732,,16,4,81.38,75.0,,8,LEFT,3,1,75.0,4,5,1,83.33,6,7,2,77.78,Playmate,True,2,0
19242,105 Wedgehead (19242),69.29,21.427,,18,6,84.92,66.67,,21,RIGHT,5,2,71.43,7,4,4,50.0,8,8,6,57.14,Wedgehead,True,1,0
19243,A13 Trick or Treat (19243),83.24,22.337,,36,9,89.94,75.0,,24,RIGHT,13,2,86.67,15,10,6,62.5,16,18,9,66.67,Trick or Treat,True,4,4
